岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
高级数据科学家,https://www.zhipin.com/job_detail/cdc70fbc952287a11X1729-0EFRY.html?lid=57ut4iy7EUS.search.251&securityId=-ylCOlaSQlqq6-b1YQQySuiyW_pV-SrrVttdxOsnGUdjMoLKVEBB7se0d7U45A1ZOhCqz84hMEO4-p0wI_2p1wtDh1Mra0mTLoi2eTfT_FZcVkFdyw~~&sessionId=,25-50K,雅通数据科技,上海,5-10年,硕士,SQL R Python 数学/统计相关专业 数据分析/挖掘经验 机器学习建模经验 项目管理 团队管理 业务分析策略,未融资,100-499人,数据服务,节日福利 员工旅游 带薪年假 年终奖 定期体检 五险一金
数据开发专家,https://www.zhipin.com/job_detail/adb3f5913ac7ad931HR-2du0FFFT.html?lid=57ut4iy7EUS.search.252&securityId=n3JgW4slofZxj-t1LaaUWS3Gf5i2UUfu9TPdTt2MsMaq99JO56w5Il_6Sha8S4KUrRw8aUVUChL1AR_3zn_uEGccsjoSoryka2xU23Tuyj1BSKdrCgI~&sessionId=,30-60K·17薪,某计算机软件公司,上海,1-3年,硕士,数学/统计相关专业 大数据处理经验 计算机相关专业,,,,生日福利 节日福利 有无线网 团建聚餐 零食下午茶 员工旅游 带薪年假 法定节假日三薪 股票期权 绩效奖金 年终奖 定期体检 意外险 补充医疗保险 五险一金 补充公积金
游戏数据分析,https://www.zhipin.com/job_detail/2a8bbaec2907ef471XV52NS6FFRX.html?lid=57ut4iy7EUS.search.255&securityId=nE1qMW8SxtZqm-X1zf9xoPw2UR81TUbA0b-3TASTZLFumslTVyRYzQ6ZiQaOqKqMhYzUdhlGyflGzD1_PcDkCsM-f907erFPG0uDvS6T1pB29P3B&sessionId=,40-60K·16薪,某500强上市公司,上海,5-10年,大专,Python SQL 决策树 SPSS Excel,,,,五险一金 定期体检 加班补助 年终奖 带薪年假 免费班车 节日福利 零食下午茶
大数据工程师,https://www.zhipin.com/job_detail/607570110c04fb831n163dm7FVNY.html?lid=57ut4iy7EUS.search.256&securityId=8SBEa76EkdPt9-u1O1RbfQ9AeJHvIYrMz5vTjYIdnFZBA8EZkiAfFO0h08TDRlJjYxBusW0sCbDJ4aUCf57hVIPUurx8aDjtKgaBKH1qveY1H7Yd&sessionId=,13-25K,上海市新知进修学院,上海,3-5年,硕士,Python Java Spark Hadoop Storm Zookeeper,未融资,100-499人,在线教育,
数据部门长,https://www.zhipin.com/job_detail/5646af64faf8f7891HR40t21FVZV.html?lid=57ut4iy7EUS.search.257&securityId=E46BdZLE1G9Ew-b1X-Z91XdCIQ4yc5GKhs7vPy7ALexwPZBQ3cWxbX7GLq6K_r9FsTioYK9n_ROeAxyKWdMl29gls5_sEOVAvquEG1Pk0LbrBC9M&sessionId=,40-70K·17薪,某大型知名医疗健康上市公司,上海,5-10年,本科,Hive Spark Hbase 计算机相关专业 大数据平台架构经验 金融行业数据相关经验 SAS R语言,,,,五险一金 补充医疗保险 定期体检 加班补助 年终奖 员工旅游 节日福利 零食下午茶
大数据开发,https://www.zhipin.com/job_detail/a42f020a2ba756031HR52NS7FFJY.html?lid=57ut4iy7EUS.search.260&securityId=YmDX7WwDbbZYc-I1krma18YxJL-baYWHyRLzsADJRbT1jyMhfqcDFQ71iv1QY0kebqj7P70hRu8cRNfQLLfkZitxPuxnqvm9pkMpHvR6hxuCW5q4&sessionId=,18-23K,苏州微浪科技,上海,3-5年,本科,Hive SQL Python 数仓建设经验 大数据开发经验 PowerBI 数据建模,未融资,100-499人,互联网,
数据分析,https://www.zhipin.com/job_detail/621b324382898a2d1Xx72NW5ElJZ.html?lid=57ut4iy7EUS.search.261&securityId=H1oVilFzkIXEv-N1L_1Ibboyt88_9yOqw8grbbLM86Wh6DZvTGfSeIuDkwe8sBioX7UIWhC3k1VzBoPlHKM1mRw1PhSlzCRoFTfoBYTv1NHlCqY4Uw~~&sessionId=,15-25K,某大型知名互联网金融上市公司,上海,3-5年,本科,SQL Python 数据报表 集市开发,,,,五险一金 加班补助 年终奖 带薪年假 员工旅游 免费班车 节日福利
大数据专家（国企，亿级终端设备接入量）,https://www.zhipin.com/job_detail/c1c1f13fc973d24c1HR-3ty5EFFT.html?lid=57ut4iy7EUS.search.262&securityId=IyPlUygVQ5avA-k1FLWq7MuDKvCbLrY_sZgp25SaTSpGDa5-k6X8W3dWUJvJ7AEytwRdHXNeWiwywOrxsmUc8DcBVIqMsEMxdNH0jXJfn5xLskwQndb7&sessionId=,40-70K·17薪,某大型互联网公司,上海,10年以上,本科,Hive Spark 机器学习/深度学习经验 数学/统计相关专业 大数据变现 数据挖掘 大数据集群调优,,,,
数据算法,https://www.zhipin.com/job_detail/8c61c1a30aa5d9d41X183ti4FFdS.html?lid=57ut4iy7EUS.search.265&securityId=Gr1211ZFCUyMk-Y1jcabTdQQS4M8W9M9Xx0ZSC5PAur4cLAHp29Xjx9Rl6C1L7env18mXEPrTMa7BMIGgozYom9B0PK7CigXAOriPGyDDtwI72adIJCh&sessionId=,30-40K,致景科技,上海,5-10年,硕士,业务导向,D轮及以上,1000-9999人,互联网,生日福利 节日福利 高温补贴 团建聚餐 带薪年假 股票期权 定期体检 五险一金
数据分析,https://www.zhipin.com/job_detail/ed9be95530ffbf691X18396-FFJW.html?lid=57ut4iy7EUS.search.266&securityId=hYvQrjSfD6Fkr-a14HoCvS2c12ErbE4FQ3wVjS53QxLjDB8bmte7DIJOq0isJLsDpCFFjJeA1YzDbDW7uREbtofZufZKcTVD6BCFa0u2HUiLztP6gw~~&sessionId=,25-26K·14薪,某大型数据服务公司,上海,5-10年,本科,Python 计算机相关专业 机器学习建模经验 数据分析/挖掘经验,,,,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 餐补 通讯补贴 节日福利
