岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据分析师,https://www.zhipin.com/job_detail/05e1f5ad84b85d7b1X142d24GVJX.html?lid=4GkeEM6LGcU.search.11&securityId=P9cweUati69Mx-r1BvcfTvSUEOMw5ZGTP0EAZsi1cuA70bNEpTrQX81Oaw5Q2dStM0stFT7Q-VTydoG0fZ7MdPLoBV2yKVjHSggLbZWC9ocxu98TGMAvV5A-f8mv6gVk3p1amipBEAw9wSTkzGtgPPY~&sessionId=,10-15K·13薪,筑元信息科技公司,厦门,1-3年,本科,电商/零售行业数据相关经验,,0-20人,生活服务,
数据分析专员,https://www.zhipin.com/job_detail/4631702e437c822c1X1_09i1FlFS.html?lid=4GkeEM6LGcU.search.12&securityId=VO4tRqxvwggVW-J19_kETlqTqX5Y0b2TTVnpoxzA3NtXP742-n-GcvzLYDSWwOKURdO6JTzjHnjcisTn2akq6YmA_e-evpZOFBDdsuNexNQF8RiXbpr3&sessionId=,8-10K,数字原,厦门,3-5年,大专,SQL Python SAS 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验 华为HCIA HCIP HCIE认证 工业互联网,不需要融资,0-20人,数据服务,
保底7k+意向数据+五险一金/客户经理,https://www.zhipin.com/job_detail/9a7982a59096ec351HR-3tq5GFdT.html?lid=4GkeEM6LGcU.search.13&securityId=PnpyDxMbnc4TB-A1aCu3IuS9SzSRo3ZUeYx6r8tiBe2Tcxl4w4eOesrUh52sGC7W04kogsd8fYDS8c22bg71cKfE05mqE28l-VypjTs4WuotlixM9j_w581S31sc7Zcl9fY9RDidpGQ_f0FXptfByQ~~&sessionId=,10-15K,荣元睿投,厦门,经验不限,大专,客户关系维护 客户开发 批发/零售 个人（To C） 电话销售经验 网络营销经验 沟通能力,未融资,100-499人,互联网金融,交通补助 生日福利 节日福利 高温补贴 通讯补贴 有无线网 团建聚餐 零食下午茶 餐补 员工旅游 带薪年假 全勤奖 工龄奖 加班补助 股票期权 底薪加提成 绩效奖金 年终奖 补充医疗保险 五险一金
亚马逊数据分析专员,https://www.zhipin.com/job_detail/aeb3767be560ffa51XJ_29i1GVdW.html?lid=4GkeEM6LGcU.search.14&securityId=Rpo1CitJZJpyj-h1-kivaXZn-1W_7qoobYAeceXoFaAwfQ0tjGYUYIoWR5cIqu13J8Z_opxY_A9rFKG6qFNVzEl0ZX6W6Hxk-sp_MLxQBfwqe8rfkSi17J87r3zNRG7brdF3IFr0EN6WIEmqLgGufxA~&sessionId=,5-8K,厦门市新时颖,厦门,经验不限,大专,数据分析/挖掘经验 电商/零售行业数据相关经验,未融资,20-99人,贸易/进出口,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 年终奖 五险一金
数据整理专员,https://www.zhipin.com/job_detail/89904091446c12591XFz3t27FFJT.html?lid=4GkeEM6LGcU.search.15&securityId=LcTF5DbdAxQwu-m1_cE_uRUQaeP3ui1Z14rK-yi2-0Sb-W7B3wCe-UJ55v_mvjrYWTL_wpeQQmyhDhwNRvX47vAW12vwhFKrJ7wWU2VNmok8ZSmUc7wN16MbDVy6bY3shWjN17UKhxUb6SqAdYCRFA~~&sessionId=,5-6K,睿宝羊肉,厦门,1-3年,本科,业务模式/运营策略优化 营销活动效果分析,未融资,20-99人,食品/饮料/烟酒,五险一金
爬虫数据采集工程师,https://www.zhipin.com/job_detail/90e5d212973b07ea1XN709S9FlVT.html?lid=4GkeEM6LGcU.search.16&securityId=uJiyDcEbhzOZq-o1PwhrxrFu3cIP5v2AlnvYc-wPWBYrFMzMDGqGko3rTKY32Y5XW6HC8zbjyaFxzFKynX_N9BgxoUeeh-aTr8eRV6pzB4Td96Ej3g~~&sessionId=,12-20K·13薪,福州果集信息科技...,厦门,经验不限,大专,爬虫工程师 爬虫开发经验 反爬策略和实践经验 Python C#,B轮,100-499人,数据服务,五险一金 定期体检 年终奖 绩效奖金 保底工资 全勤奖 带薪年假 员工旅游 餐补 零食下午茶 团建聚餐 有无线网 节日福利 生日福利 交通补助 下午茶 免费电影票
电商数据分析专员,https://www.zhipin.com/job_detail/83f8dc4c82123c211HR-0t29FlRV.html?lid=4GkeEM6LGcU.search.17&securityId=0SSodEzjBKIXI-U1kTkl9JTHIKgBT2npkG0VSOUzopLx62HL0Ewev9U54i3uE25B37OkQrp5U-pGI2BObe8tI6JPdsdgjGsHTBW9ZsM9JW_sByQmmO8~&sessionId=,6-10K,同领科技,厦门,经验不限,本科,SQL,未融资,100-499人,电子商务,五险一金 补充医疗保险 年终奖 带薪年假 节日福利 零食下午茶 生日周年 团建活动
GPT数据分析实习（python）,https://www.zhipin.com/job_detail/4ba96b0580dfeda51HR50964F1FU.html?lid=4GkeEM6LGcU.search.18&securityId=Dk4D4CevxItuI-E1rvUJbnoiDi4SmJUxwrp3zLvnFeZB7uMyxtwUmRb-NL7uyTkhEB-ngmVDgjXqA2LzWbIxOUr0wIrANSaUyj78SYS9lap4u69W&sessionId=,3-4K,快商通,厦门,经验不限,本科,Python 计算机相关专业 数学/统计相关专业 数据分析/挖掘经验,B轮,100-499人,计算机软件,五险一金 年终奖 股票期权 带薪年假 节日福利 零食下午茶 生日福利
数据分析师,https://www.zhipin.com/job_detail/e825802dbd4f69da1XN509u0EFJQ.html?lid=4GkeEM6LGcU.search.19&securityId=08jmLbZqkaDoA-j19r7kiG_X0MhXteTCaAKv-7P5yg5J2kNDef7It7D2A-RZNOFAQP2aarHNhF82lDUCPRaoIG8_DNgwLxk1HKLZv5wY-iV-TVy08h2S&sessionId=,4-6K,知行合一,厦门,经验不限,大专,数学/统计相关专业 Excel 数据透视,,100-499人,互联网,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 夜班补助 加班补助 股票期权 底薪加提成 绩效奖金
数据开发,https://www.zhipin.com/job_detail/a58dff07e0c19e8e1XN70tS_FVVW.html?lid=4GkeEM6LGcU.search.20&securityId=oDbiL2S1ydwkq-X16tIwquCatP-RvjG1P8v3SHRY-yW7yHnM0fIuV25USYuujHM396Cx9DF1YUvFPclXDFqd5bCMu_C2BozILkZ5vBrDHKH1JBoa0oI_i0qvSjIA29V_BiUMIRmBVryeDhiO3NYmEEjt&sessionId=,5-8K·13薪,高颂数科,厦门,1-3年,本科,Java 数仓建设经验 C++ 大数据开发经验 计算机相关专业 SQL,天使轮,0-20人,数据服务,员工旅游 带薪年假 夜班补助 年终奖 五险一金
数据分析师,https://www.zhipin.com/job_detail/f4543838a30926af1HR529-9FFZW.html?lid=4GkeEM6LGcU.search.21&securityId=paBJ_LR3GtSqk-p1ffi8nbN2MS68GHOoG5LZBdL-TljUH9gATKumiAi97S0srZeX9FO9SN-kXpSbqMPNEQpvHplLPUI0VOrcs93ovwx5owI8yAtqNL3K&sessionId=,5-6K,厦门鑫河,厦门,3-5年,大专,经济/工商管理相关专业 金融行业数据相关经验 单休,未融资,20-99人,咨询,团建聚餐 员工旅游 底薪加提成 保底工资 绩效奖金 年终奖 意外险 补充医疗保险 五险一金
数据分析,https://www.zhipin.com/job_detail/9370234b97e0bcb71XZz09-9EFtT.html?lid=4GkeEM6LGcU.search.22&securityId=pBd5wxNHmXJTl-J13jtNjQOIvRp35HmNB4tyC7o5ltpwsRdhKjw5OrSSsnSu_Q6QLEh4oGFoIo5oh6qKdKUUPbxu8IjyVyu4R1YUFGCvHfJD-eCsop1_gjxd_bkwNoOhjZ1Kb0e2qaCmp2qyUVfS&sessionId=,12-24K·13薪,网宿科技,厦门,经验不限,本科,Python,已上市,1000-9999人,互联网,交通补助 生日福利 节日福利 通讯补贴 免费班车 团建聚餐 餐补 员工旅游 带薪年假 工龄奖 加班补助 股票期权 绩效奖金 年终奖 定期体检 补充医疗保险 五险一金
【线上办公】数据采集工程师,https://www.zhipin.com/job_detail/c7af3eaf4e25b1c91X1_3N60F1ZS.html?lid=4GkeEM6LGcU.search.23&securityId=KfwySddML5YlB-m1-AVqN31Fnwzlcm2xPh1_KkYOhQcSgDCCxJ6kc-J4r2jgpy0dAtkoLfhlZmL6QklbB8D12p-C2b_hEMWGnW2JQa6tpsl40cIZ-tw~&sessionId=,15-20K,坦重晟,厦门,1-3年,大专,爬虫工程师 Golang Python 计算机相关专业 爬虫开发经验 逆向 数据采集 数据抓取,不需要融资,100-499人,文化/体育/娱乐,员工旅游 餐补 交通补助 节日福利 零食下午茶 生日福利 带薪年假 底薪加提成 保底工资 绩效奖金 年终奖 居家办公
数据挖掘算法工程师,https://www.zhipin.com/job_detail/8b2d8515f5ef647a1XB409W6FFRQ.html?lid=4GkeEM6LGcU.search.24&securityId=6jH0ysDjWEDCM-X1WIdzD0EfVW66PUK1zNrHSP7HsY9gwJV8fsF2JPBR-UyCzyXDDAA4YhYtOvBvNQLZ3-31hmmBT3AW2lB7TrV7aMYVPpmnqeMeVjrB4H7qpiG-2owBAKjsuAC1zPHzX1IOozoZCg~~&sessionId=,25-40K·14薪,瑞幸咖啡,厦门,3-5年,本科,Python Spark 计算机相关专业 数学/统计相关专业 电商/零售行业数据相关经验,已上市,10000人以上,互联网,五险一金 年终奖 股票期权 带薪年假 员工旅游 餐补 通讯补贴 交通补助 节日福利 员工饮
信息挖掘专员,https://www.zhipin.com/job_detail/7e0e3a9d3e4f10cc1X162d29ElZU.html?lid=4GkeEM6LGcU.search.25&securityId=gXbZ4MpPioIgv-g1YjuNuhmG0XS5QbQKikEbZ3COP3uiKDY92Nnb1BQLRUMuNQ3erRWrX3UUnKOhCP8PBjP-vrGukQy2r4iFuqjQlePNbYczB_8-Fg~~&sessionId=,4-7K,黑曜石咨询,厦门,1-3年,大专,数学/统计相关专业 计算机相关专业 数据分析/挖掘经验 数据挖掘 信息整理,未融资,0-20人,专利/商标/知识产权,五险一金 加班补助 年终奖 带薪年假 员工旅游 餐补 通讯补贴 交通补助 节日福利 住房补贴
数据,https://www.zhipin.com/job_detail/6d2ae1faaf91b8a61XVz3N-1FVpQ.html?lid=4GkeEM6LGcU.search.26&securityId=_2EORXpKzMhZ8-W1LhBuy0mMp_TP2yJEge7pdBmQ-hOme2yQdvN0rishYqCgI3kfG5a6UIiYx4cMJ86MsZ9v3TNVR-DoAWTt2IMMpwNdwe7Y7NWd6ao~&sessionId=,4-5K,泉州鑫棱贸易有限公司,厦门,经验不限,学历不限,无经验 实习盖章,,0-20人,电子商务,
数据标注专员,https://www.zhipin.com/job_detail/81ab71fd30278b5e1nx_3tW_EFpQ.html?lid=4GkeEM6LGcU.search.27&securityId=lhK5Z92iKxq27-51FPOBXWl5es56mcl9CvJywp6TrpKQ7biV9q9qkEv9ZGIN0UZ6cLy6ffGRYdKdE5dtCAhJl_5Kr2pZkAD0BDPhRunthISK4qhp3Fo~&sessionId=,5-8K·13薪,幂立方,厦门,1年以内,大专,图片 文字 音频 地图 视频,不需要融资,20-99人,数据服务,五险一金 全勤奖 带薪年假 员工旅游 零食下午茶
数据采集开发工程师,https://www.zhipin.com/job_detail/2b3863e94b6010a61HR-2tq8GVVS.html?lid=4GkeEM6LGcU.search.28&securityId=UyXbp0zCYvO0W-H1yVHU3XB0AL1mEC0sLGEgwiUk9cjyznVOmli85vuhKc7jswMr17oeHD1CAieyWlnb7H87GHZ_JW_jHXqb5ALblhmQVD7IBZWsyGM~&sessionId=,8-11K,法茫茫,厦门,经验不限,学历不限,网络爬虫技术 JavaScript Python Java,不需要融资,20-99人,法律,团建聚餐 零食下午茶 带薪年假 法定节假日三薪 节假日加班费 夜班补助 加班补助 底薪加提成 保底工资 绩效奖金 年终奖 五险一金
数据专员,https://www.zhipin.com/job_detail/8ad111e23941c2171HR43Ni8GVtX.html?lid=4GkeEM6LGcU.search.29&securityId=0OBrEAXdoX_94-B1HJ_1gISz2mmRWkQ2Z_p701nBErUNMHDK5frbxx8MQOgwCQycmF5uY2t3RSB1upM8Gwkir0mkGfshse8f4nlg8JTA-sOSkfFZuwMC&sessionId=,5-9K,宁德时代,厦门,1-3年,大专,SQL Python SPSS 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,已上市,10000人以上,新能源,节日福利 零食下午茶 包吃 员工旅游 全勤奖 夜班补助 加班补助 股票期权 年终奖 定期体检 补充医疗保险
数据信息员,https://www.zhipin.com/job_detail/6066b118360c38a81XF809S7GFZT.html?lid=4GkeEM6LGcU.search.30&securityId=MoHlmuMZ9UmRz-l1W_urDGaVIm6Epu775_-fRy7xb6Z6aV3wG58jniS3KA1-0RBNIw1CyDc1TUhzeiFH2sHICIib4j1CKy3C_nJ6m854eHpeXQ5jbWvL&sessionId=,7-8K,天成创亿,厦门,1-3年,本科,SQL Python,不需要融资,0-20人,证券/期货,五险一金
实习生--数据采集--做3个月及以上--不加班,https://www.zhipin.com/job_detail/ab3d20ec15bf46181X1_3dq_FFdQ.html?lid=4GkeEM6LGcU.search.31&securityId=_oJPkUZgO4Wof-Y1Avc2J_4MHttlPvH1F7o2LitsawtEqmhnV3T6o-5XB47FBBtdyTgc4FeAPA6FjI_-MRhFMxQS2DxQ4gg4kYWMIWEuMPU5uFdJo7g~&sessionId=,4-5K,卿客文化传媒,厦门,经验不限,中专/中技,数据采集,不需要融资,20-99人,媒体,生日福利 带薪年假 全勤奖 底薪加提成 保底工资 五险一金
数据/策略运营,https://www.zhipin.com/job_detail/720d8b87c5765bf61XBz2t-6FVBY.html?lid=4GkeEM6LGcU.search.32&securityId=TTMl2bl5wSOpW-F1N1dzb_Od1z7pKtprw1Fg4druebxmiA-Pmc5Mh31uceD4OkFpJLFZAcCoIWVjgJIyt0Zcbv68RxZ34Pqla1vzWaVpVFTAvTRuq6oZ&sessionId=,8-10K,厦门誉林商务咨询,厦门,1-3年,本科,媒体类产品 项目型产品,未融资,0-20人,其他服务业,五险一金 绩效奖金 带薪年假 员工旅游 团建聚餐 生日福利
数据分析师,https://www.zhipin.com/job_detail/1d8c37f6fd855c611nV83N65FlpW.html?lid=4GkeEM6LGcU.search.33&securityId=MfxxrOj5CV_Tq-I1R3tVJlz4B-y77R1M5oOSuXtqwqGExQVvWFE4Dwf88-xKzr8_SUWWJG7jnDx6QMA3fSfy74w2z_K33ov3xd53K1hzjpVetXhURw~~&sessionId=,7-12K·13薪,硕橙（厦门）科技...,厦门,经验不限,本科,机器学习建模经验 回归分析 数据分析 数据分析/挖掘经验 Pandas 描述统计 决策树 聚类分析 NumPy Python 数学/统计相关专业,B轮,100-499人,企业服务,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 加班补助 股票期权 年终奖 定期体检 五险一金
地图数据处理工程师,https://www.zhipin.com/job_detail/d47ffcf2482856591XB43d-1FVFQ.html?lid=4GkeEM6LGcU.search.34&securityId=w4Ek_zoUE6b7X-a1zcbzbpd9efnWWBgXGO9UcyHe8u4Lb0UNucUMXXP0FZMZwzidsaeEceKsg56sf7nh2Fgo4GHm1UP7xdfIrYCBzwD-ReSZmkKTdRg~&sessionId=,15-30K,星图安达,厦门,经验不限,学历不限,C++ Python SQL GIS 地图数据,,20-99人,电子/半导体/集成电路,节日福利 团建聚餐 零食下午茶 带薪年假 加班补助 股票期权 五险一金
数据采集专员,https://www.zhipin.com/job_detail/a20974d3625b43331XN509W6EVNX.html?lid=4GkeEM6LGcU.search.35&securityId=KjT09QA3uqbOn-91sMUYDSG_Ckoqvr5K203HywI2D9Pr220B8NVnbQi4u7aDgjqsFp-loN7azCzTClkH6PzRYI6ALDCEoYJZOzKTbLwUumvDSDiSj626&sessionId=,4-5K,天鼎传媒,厦门,经验不限,学历不限,电子商务 互联网/科技,不需要融资,100-499人,其他专业服务,带薪年假 全勤奖 底薪加提成 保底工资 绩效奖金 年终奖 双休
数据分析师,https://www.zhipin.com/job_detail/9d8134455df7f3921X152tq9EVVX.html?lid=4GkeEM6LGcU.search.36&securityId=HPGGvjaMU7-4V-y13E-u3Gc4dtx0T1e_DEb8nB6bff6zUTFjU_AxK3W50Wdqf_6SQ0y1ShTO8eKpGQGa85qSeXT0Usv5Box7YVpEQ2rJ8R0iqIqnnXo~&sessionId=,8-13K·13薪,鹭燕,厦门,经验不限,本科,R Python 数据分析/挖掘经验 计算机相关专业 数学/统计相关专业,已上市,1000-9999人,医疗健康,五险一金 加班补助 全勤奖 年终奖 带薪年假 有无线网
数据分析/数据处理（外企氛围好）,https://www.zhipin.com/job_detail/d491c07a62cf13511X18092-F1tZ.html?lid=4GkeEM6LGcU.search.37&securityId=Vx1A6GBbZcgQ2-01zcVJg55Zkqu398x-P6EceA6ZGdrXenu8je5T9M4hd9GXciNkFI1czAlU4JEtnUqB_LKMcRy04CC3AxW2B6Uf9I4trJefGzJw2g~~&sessionId=,6-7K·13薪,百威,厦门,1年以内,本科,计算机相关专业 数据分析/挖掘经验 POWER BI可视化数据分析 计算机或物流相关专业,不需要融资,500-999人,企业服务,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/108e10625dde9c8f1X180ty-EVBU.html?lid=4GkeEM6LGcU.search.39&securityId=M1bAWZoDYOKMo-U1udUas12BKnQj6AuvsNJoOqnKOjcr9ygrZRoucT-51VAR26xclubH1Y7rCSjtNMBCGRdCcrGktXFe6todwMh1rgGY4k8arhhsfg~~&sessionId=,10-15K,尚妃美容,厦门,1-3年,大专,SQL Python Power BI 数学/统计相关专业 计算机相关专业 数据分析/挖掘经验,不需要融资,1000-9999人,互联网,节日福利 带薪年假 补充医疗保险
大数据运维工程师,https://www.zhipin.com/job_detail/42da75ebfc1a57d81HR62d61E1VT.html?lid=4GkeEM6LGcU.search.40&securityId=_Z2m8dhX5XZ0Z-A1ftRtSy0xGl88ga5RhhvDrC9ErR7Yi6CtHG4hUULvsJnuf2HDg8_DLYj7YDFOYBEaAn7HbXnGtFVIS-CrmDMykfYPdQCW5MGNXJA~&sessionId=,15-20K,国谷,厦门,经验不限,学历不限,信息安全证书,不需要融资,20-99人,企业服务,节日福利 团建聚餐 零食下午茶 带薪年假 全勤奖 股票期权 定期体检 补充医疗保险 五险一金
财务数据分析专员,https://www.zhipin.com/job_detail/b0f4d45e9827cdcc1HR-3t2-GVRT.html?lid=4GkeEM6LGcU.search.41&securityId=4QVrxxbQMv7wY-Y1TyV293qy-Ukp1538YpJrXAd-dPrZi-zJV_MCu6yL1F0T_cST7UK7Gp773J2P5h6SYwGMkwYsO42mgNi3eVaSkiGg5prHCA_YvWg~&sessionId=,5-7K,三财,厦门,经验不限,大专,经济/工商管理相关专业 数据分析/挖掘经验,未融资,100-499人,电子商务,节日福利 零食下午茶 全勤奖
数据分析师,https://www.zhipin.com/job_detail/8961d752140bbfca1HR_2924GVVZ.html?lid=4GkeEM6LGcU.search.42&securityId=UM7XNjwAZH0f3-N128eXhDoDovdZoIH7WVJ_Jrj76jJ3iBrrXzeXEj0_XIZDT9ENv13I1Mi4stTm9IGY7gl_sOpnQsVfAm2piyZHXKPyYbwBZWe7&sessionId=,10-15K·13薪,众联世纪,厦门,经验不限,本科,SQL Python 数学/统计相关专业 计算机相关专业,A轮,100-499人,移动互联网,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 股票期权 带薪年假 员工旅游 餐补 交通补助 节日福利 零食下午茶 团建活动 过节红包 加班餐补 交通补贴
大数据分析岗,https://www.zhipin.com/job_detail/20cc83a8dedd32283nx_2dW4ElU~.html?lid=4GkeEM6LGcU.search.43&securityId=xdX1aqTMfSKAk-q1Y2lyLYmjSbeKGXEF_iwY8_xSvK2EjpHjkjRKlpUVz9gTS7pOhkx2Q2gT-28jZtPATlx57GNhD0JdNLXRBH2bGTlQOfiliR5p9A~~&sessionId=,22-35K,建信金科,厦门,经验不限,本科,数据分析 数据挖掘 Python 数据仓库 大数据,不需要融资,1000-9999人,银行,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 餐补 节日福利 零食下午茶 员工关怀 工会福利
数据中心产品经理,https://www.zhipin.com/job_detail/0935265a8d4967681X143d66FFVT.html?lid=4GkeEM6LGcU.search.44&securityId=iAwF6oVvE7k9D-N11Pmzvidv9qVqEw9OTxXBbsHHkvfLYkig7Jb2sLapcfyJ--XbKlBPhFhUdTTRdSm4vIN_ek56zZBNSQEN-K-kN_Lwy5yEcQrkfw~~&sessionId=,35-40K,某大型电子公司,厦门,经验不限,学历不限,ups,,,,
新媒体数据分析师,https://www.zhipin.com/job_detail/a67ee9b23b9b03431n1829i8ElFX.html?lid=4GkeEM6LGcU.search.45&securityId=aS7BxsOVaNQWA-Z1fhFbxg0CV_iGA4epG-uajdQzxL_dMcpBdd3U92EQg4Tl2E9R3B4uM5uaZ8dMxpHkIt2sGNb1pLNGCGSNnP1VOvjMGynUBfMV5A~~&sessionId=,6-8K,橙思文化,厦门,1-3年,大专,SAS 分析师 新媒体分析师 Excel SQL,,20-99人,广告/公关/会展,五险一金 年终奖 节日福利
数据分析师,https://www.zhipin.com/job_detail/46d89f69e0a801f71X153t65ElZY.html?lid=4GkeEM6LGcU.search.46&securityId=3G2JwPmvJZaQ8-111v6p_-eEFEcEYag7ANR9gv9Nh8_sjJINl6drjW8EHtJpoEAA1TNxkpZ8k569JB9keG36AwPRhJBvDEHa_-a7a19ENeRBrk5x08c~&sessionId=,10-15K,厦门蚁剑,厦门,1-3年,大专,数据分析/挖掘经验,天使轮,0-20人,互联网,节日福利 团建聚餐 零食下午茶 带薪年假 年终奖 五险一金
数据运营专员,https://www.zhipin.com/job_detail/4126a45cf2aabc6e1XN40t64EVFS.html?lid=4GkeEM6LGcU.search.47&securityId=eZPoH3mlrZrq3-G1SkYXEua-nc1bGdzcLRVF1P7LeORZeKmn_Lv9I3dKClHHCETYhbdRRvRrnzHCM0SBXdHARJe35Lvl96SpnJpEL32ZE1Q5gDJvQgs~&sessionId=,5-10K·13薪,利百州(厦门),厦门,经验不限,大专,业务数据分析 业务模式/运营策略优化 营销活动效果分析 数据分析/商业分析经验,未融资,0-20人,互联网,节日福利 团建聚餐 零食下午茶 全勤奖 年终奖 五险
数据运营,https://www.zhipin.com/job_detail/917764ab4342ed871HR739i-GFpS.html?lid=4GkeEM6LGcU.search.48&securityId=o6hQRwsqtQr9k-C1dDxiR6tyn8l-BIj-375jETDk9lBPTlmqr_SIHG_zEWqzMWPPbOuru1PmM6ZtL1Rt5FzyKboUpax9UDkBkHVXlCiuGDWK4Qb74fxB&sessionId=,8-12K,厦门市师傅邦网络科技,厦门,1年以内,大专,业务模式/运营策略优化 投放数据分析 营销活动效果分析 金融/经济相关专业 计算机相关专业,不需要融资,0-20人,其他专业服务,生日福利 节日福利 有无线网 团建聚餐 底薪加提成 保底工资 绩效奖金 年终奖 五险一金
数据分析工程师（派遣岗）,https://www.zhipin.com/job_detail/091ebbb9ca7a4cb31X173dy_F1tW.html?lid=4GkeEM6LGcU.search.49&securityId=IQeveV5LqPMaG-61vOdefK0bnWFwdqKLgS0lrC77BYnRw4AeLswoqFed8_bZiuhrREW_vS3YHmTzxAvlImvOOCtG-kX6zNtyXKtbtVOyO2Ih4NE~&sessionId=,7-12K,安胜,厦门,1-3年,本科,Python,未融资,100-499人,互联网,生日福利 节日福利 带薪年假 五险一金
数据处理,https://www.zhipin.com/job_detail/33c223f78e91f1b51HR409W5GFJY.html?lid=4GkeEM6LGcU.search.50&securityId=kHbM_1Rq10czL-F18MDDqr0EGP2QM2lfpbfmbrA7FuoAly-QI9Ney0URR62C2nn9gR5F5MrzMOxM5ELY4AX2eiQo3ArhFfJ0s41CAHzbPS8Y0vSduA~~&sessionId=,7-10K,二木设计,厦门,1-3年,大专,ArcGIS,不需要融资,20-99人,计算机服务,五险一金 年终奖 股票期权 带薪年假 员工旅游 节日福利
数据运营/用户运营（轻医美）,https://www.zhipin.com/job_detail/d9bfa527fb2281841X183t69EVVR.html?lid=4GkeEM6LGcU.search.51&securityId=1mwydJdT8zDDB-T1lrjYUVuijZ4Q32bn02v-BDigBXAmYr9auafXt7I83HHy5kAD9MCUKjDd2IVwpAmOzMa_Z62xhxS8cTHzFh1Pr78e24dnIYpwGKU~&sessionId=,6-8K,美思理,厦门,1年以内,大专,业务数据分析 营销活动效果分析 用户深度研究,未融资,20-99人,医疗/护理/卫生,五险一金 绩效奖金 保底工资 底薪加提成 工龄奖 带薪年假 零食下午茶 免费工装 节日福利 生日福利
数据分析师（周末双休，入职五险1金）,https://www.zhipin.com/job_detail/df43c294eef9182d1X1439W9EFRX.html?lid=4GkeEM6LGcU.search.52&securityId=0s2fFtE940nRF-s1LqSUg3aIiLtRzFP670ycbQtZcngUcVZKfzl3rAn5gi0xePK4XmHapnM0HOr1h55s8hUa4QxBxep8wbDk_QMWENgv1kYHDtUprw~~&sessionId=,8-12K,叁伍锄,厦门,1-3年,本科,Python SQL,未融资,20-99人,培训机构,五险一金 全勤奖 年终奖 股票期权 带薪年假 员工旅游 节日福利 零食下午茶 畅享书籍 技能培训
数据分析师助理,https://www.zhipin.com/job_detail/40859acaa1cae9ac1XFy0tS_GVA~.html?lid=4GkeEM6LGcU.search.53&securityId=OJ47hdXmALb4v-I1LLbNMsWJ5ZzkTpg4jZOmRHs0gaYqEip_ZVkoDPKDLfPpofN0JoN40I0_a-876daEjXfmqVNWOTq8JSJdqDSWdpgsTEobMTd8&sessionId=,2-3K,茶蕊生物医药科技,厦门,经验不限,本科,流行病学 医学 sas,未融资,20-99人,制药,五险一金 年终奖 餐补 交通补助
数据分析（厦门中行）,https://www.zhipin.com/job_detail/c70128c6e497120c1HR639q7FltU.html?lid=4GkeEM6LGcU.search.54&securityId=OcaYniKyCp_fG-e12a0MU087FOqtzW8yC5DGTOJTwqJy_RZruxYhUM3UbjhRFNuPIVqvZvGhyEJi6vQaX_HF21bm-AwXIvSKP6PmpJn30ui2cWM973Y~&sessionId=,12-13K,银成科技,厦门,1-3年,本科,Python,,100-499人,移动互联网,
产品经理（大数据方向）,https://www.zhipin.com/job_detail/bd6095ccf41591bf1HR_0tq5EFVQ.html?lid=4GkeEM6LGcU.search.55&securityId=v3jUOJzjBG5Gb-210Tq0VQ91PyqJDtLyb2YbLKkWJNNsAiYadjSjg72e4gWVxY2gMng81W083WDYwHtCYkB9ADeOpjRu-5hn7LM12-Ogms5vCyrZdzS-lqWBG89H9DhnIf6CMzoO4FhkRxQUjBIwkQA~&sessionId=,25-35K,某保险公司,厦门,3-5年,本科,中台/后台产品 BI产品 打造数据中台产品体系 Hadoop等大数据技术,,,,五险一金 补充医疗保险 定期体检 加班补助 全勤奖 年终奖 股票期权 带薪年假 员工旅游 通讯补贴 交通补助 节日福利 零食下午茶
数据中台负责人,https://www.zhipin.com/job_detail/37963f64a1696eb11Xx-09u1GFJU.html?lid=4GkeEM6LGcU.search.56&securityId=hYCwEpdy2n42E-m1JW3kQ90Wr--hy4DUDxh6c5Uo3go7IpWw5Dji-BhTaI8pdVxdJK6H5ce3O2AfC3FS1s1lTolcnhpWGp0owsHo_qKEgpb1XgnW&sessionId=,8-12K·13薪,石头城,厦门,3-5年,大专,销售运营 中台 数据分析,B轮,100-499人,互联网,五险一金 定期体检 年终奖 股票期权 带薪年假 通讯补贴 交通补助 零食下午茶
算法工程师（数据挖掘方向）,https://www.zhipin.com/job_detail/98238050d82709661XF-0tu_GFtU.html?lid=4GkeEM6LGcU.search.57&securityId=6KvOZvscX7A9V-q1Z1XJ9l5YvPHNvgpnmgi78sZFLxtm_r-kCzIMaCUfYVLbnKltNETdjXVqM3C-wo_-742ZbmkcSVMHcXzwupNqacQv9Blrs21S_oE~&sessionId=,11-20K,厦门数据智能研究院,厦门,3-5年,本科,Python MATLAB 计算机相关专业 大数据处理经验,不需要融资,20-99人,计算机服务,交通补助 高温补贴 餐补 带薪年假 加班补助 定期体检 意外险 五险一金
