岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据分析师,https://www.zhipin.com/job_detail/31b85ba2654ae1991Xxy29y4FlpW.html?lid=584LjSKRAgW.search.172&securityId=s9FiFQ4EgxS3A-x1PqB5eEwgp8h8hXK9Vn8V2SuL1sbzy37ggKtXWaOUhNRhfOcjlHJTTeSSr9r_ZkxdLdB3Affi1mnCsf_KU7zyGMbW_PIqreZZ4Q~~&sessionId=,8-12K,广加科技,广州,1-3年,本科,Python Power BI SQL 数学/统计相关专业 Hadoop Spark 电商项目,不需要融资,20-99人,互联网,五险一金 定期体检 年终奖 带薪年假 员工旅游 节日福利 零食下午茶 生日关怀
数据分析师,https://www.zhipin.com/job_detail/fa7e2b1cd41caba51XZz092_E1dS.html?lid=584LjSKRAgW.search.173&securityId=uKQ0FgZhJ4lno-t14rpFpnCb2K8UsnUgxByQsxwuvQCDM1uiJpahSkG5xIhrN-dGEBnc8TbPUiD2Ig7QCiZF6HXtb47LMVCavFiGF4ZW-ynN7pY~&sessionId=,17-30K,高奈特,广州,3-5年,本科,Python SQL SPSS Excel Tableau,已上市,100-499人,互联网,五险一金 补充医疗保险 定期体检 加班补助 全勤奖 年终奖 带薪年假 员工旅游 通讯补贴 交通补助 节日福利 零食下午茶 生日福利 团建活动 学习提升
数据分析师,https://www.zhipin.com/job_detail/c8597c74c5f1e9960nN839W8ElI~.html?lid=584LjSKRAgW.search.174&securityId=N6Loe4Vv-9U0W-v10QtvXfFoL_VAbZzQCdZy4h9LYjYqDkurkbqEF6Wz9_GyNMTQKrS1_QpJ-FnHa8P19XkBGqVcgb-e-25Ol0TmztCkWZg~&sessionId=,7-11K,尚德机构,广州,1-3年,本科,数据分析 数据仓库 商业数据分析 SQL Python MySQL SPSS 大数据,已上市,10000人以上,在线教育,五险一金 加班补助 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/aeabbef3c42b86b91X1y2Nm5EFZS.html?lid=584LjSKRAgW.search.175&securityId=dWXfD1ektlkB6-U1Ku86xUOtDePtwpXVoh7MFjTAN7JzhEj-UzcNXQpPXIwDObT_NdMZskCnBzil2r7eLdZb9C2Js2dvFO_tP0z3tLm7aK5sfRLAPiI~&sessionId=,15-30K,汉泽,广州,5-10年,本科,数据分析/挖掘经验 文娱/游戏行业数据相关经验,未融资,100-499人,游戏,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 工龄奖 法定节假日三薪 节假日加班费 加班补助 企业年金 绩效奖金 年终奖 定期体检 补充医疗保险 五险一金
数据分析师,https://www.zhipin.com/job_detail/bfbb6ef91855763e1XF73N65EVJS.html?lid=584LjSKRAgW.search.176&securityId=eBFZIZPehHPd8-M13LXX8vw179vKx9Cguf7B0nzr_KVgV5avrbHRi8p8OjjTV6iAopg3vCtNrpIoCN-4KRrx1mHzEf_6KqvtrLZIQiMuOG1bca4T6w~~&sessionId=,8-10K,凯丽隆,广州,1-3年,本科,数学/统计相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验 数据分析,D轮及以上,500-999人,广告营销,五险一金 加班补助 全勤奖 年终奖 股票期权 带薪年假 员工旅游 通讯补贴 交通补助 节日福利 零食下午茶 生日会 大型团建
数据分析师,https://www.zhipin.com/job_detail/6da71fb70e5038aa1Xx43tm5EVBZ.html?lid=584LjSKRAgW.search.177&securityId=Iw2jBlUhEGJ9x-s1S6VgjHkEEboCgzy3GaAuH4nCJtPEOc8BfiryNdVCEpL21jBS0fXkttI7S-JgIaQ6Dx0m7BS16ls146Pxsnbu6HoPaeRbTbL_XQ~~&sessionId=,6-10K,中赞云仓,广州,1-3年,本科,SQL Python Power BI 计算机相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验 Vb运算优先,未融资,20-99人,其他服务业,交通补助 节日福利 通讯补贴 宿舍有空调 包住 团建聚餐 零食下午茶 餐补 包吃 员工旅游 带薪年假 全勤奖 工龄奖 加班补助 年终奖 意外险 补充医疗保险 五险一金
数据分析专员,https://www.zhipin.com/job_detail/99ddfecfb54cb18e1HR43N67F1VQ.html?lid=584LjSKRAgW.search.178&securityId=Nu9JClVcif4LD-l1uomy4c6U6e_IjyhlXjeW_j6EBJj5JKbH0ems_OIBHWQhyBHUcDrB2-UNUbH2oopUnx9MI-Q2OpofZLQpgriwwGd4dxHTyNt7Jg~~&sessionId=,13-18K,顺丰速运,广州,3-5年,本科,数学/统计相关专业 数据分析/挖掘经验 物流行业数据相关经验,已上市,10000人以上,物流/仓储,五险一金 补充医疗保险 定期体检 加班补助 全勤奖 带薪年假 员工旅游 免费班车 餐补 通讯补贴 交通补助 包吃 节日福利 住房补贴 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/e66b150164f756831Xd70961FVNX.html?lid=584LjSKRAgW.search.179&securityId=EYbAQM3FeTCgG-c1Hxl-93YjdGcB2VPjE0FU3TTDETa-oU6u8UCyWlTmDOOTi879_AFBGJIexO2NacmmsOcUA2z8GN2KzsKA9s4Cux9bEHaEpX3vmw~~&sessionId=,10-15K,德科信息,广州,1-3年,本科,SQL 计算机相关专业 恒生O32 excel,不需要融资,1000-9999人,计算机软件,生日福利 节日福利 团建聚餐 带薪年假 企业年金 股票期权 年终奖 意外险 五险一金
数据分析师,https://www.zhipin.com/job_detail/e9055e2b7cdda3b91HR_2t2_F1dT.html?lid=584LjSKRAgW.search.180&securityId=SR7FVd1H3oTxx-d15Y2Y67egEGOiMz9-tWpxml-yu-wCz8bhMhDJE3aADltuEF9tqxf7Sl7YVEfYvCmDlFlpTPEvEw8kRvOnPy92EFDHmhsyPw~~&sessionId=,15-25K,某500强上市公司,广州,1-3年,本科,SQL Python R 数据分析/挖掘经验,,,,五险一金 补充医疗保险 定期体检 全勤奖 年终奖 带薪年假 免费班车 包吃 节日福利
高级数据分析师,https://www.zhipin.com/job_detail/c4b220f79b80b3df1nR929i_F1JQ.html?lid=584LjSKRAgW.search.181&securityId=hPUh2O7qou3uk-M1zXiNJ9nHZBGWGE9ShWw9ar0qF6VZ5rbY7fbCszznNcrN60JnkjLw1im_e4RuRXrD2GU09Wsx7bOoXaYcikYeHgMyL9pld--aiQ~~&sessionId=,15-20K,算法科技,广州,1-3年,大专,数据分析 抖音数据分析 直播数据分析,天使轮,20-99人,广告营销,五险一金 全勤奖 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
